16,函数$y=log(x^{2}-1)$的定义域是,"$[-1,1]$","$(-\infty ,-1]\cup[1,+\infty)$","$(-\infty ,-1)\cup(1,+\infty)$","$(-1,1)$",C,"正确答案的选项是C. $(-\infty ,-1)\cup(1,+\infty)$。函数的定义域是由其内部可计算的部分确定，即由使函数有意义的自变量的取值范围所确定。对于对数函数 $y = \log_a x$，其定义域为 $x$ 的取值范围，使得 $a^x = x$ 成立。在本题中，要使 $\log(x^2 - 1)$ 是有意义的，我们需要 $x^2 - 1$ 的取值范围使得 $\log(x^2 - 1)$ 存在。$x^2 - 1 = 0$ 的解是 $x = 1$ 和 $x = -1$。所以，当 $x < -1$ 或 $x > 1$ 时， $x^2 - 1 > 0$，此时 $\log(x^2 - 1)$ 存在。综上所述，函数的定义域为 $(-\infty ,-1)\cup(1,+\infty)$。"
17,已知集合$A={x|y=\sqrt{4-x^4}}$，集合$B={x|x>=a}$，则$A\subseteq B$的一个充分不必要条件是,"(-\inf,-2)","[2,+\inf)","(-\inf,-2]","(2,+?)",A,"选项C. (-\inf,-2]"
18,在空间中，下列命题正确的是,平⾏于同⼀直线的两个平⾯平⾏,垂直于同⼀平⾯的两条直线平⾏,平⾏于同⼀平⾯的两条直线平⾏,垂直于同⼀直线的两条直线平⾏,B,C. 平⾏于同⽤一平��面的两⻅线平⾏。
19,在正方体ABCD-A1B2C1D1中，BB1与平面ACD1所成角的余弦值为,\sqrt{3}/2,2/3,\sqrt{2}/3,\sqrt{6}/3,D,D. \sqrt{6}/3
20,圆x^2+y^2-2x-2y+1=0上的点到直线x-y=2的距离最大的是,1+2\sqrt{2},2,1+\sqrt{2}/2,1+\sqrt{2},D,D. 1+\sqrt{2}
21,若$\sin\alpha * \cos\alpha > 0$，则\alpha在,第一、四象限,第一、二象限,第一、三象限,第二、四象限,C,首先我们知道，对于任意角 $\alpha$，$\sin\alpha$ 和 $\cos\alpha$ 的符号是相同的，所以当 $\sin\alpha \cdot \cos\alpha > 0$ 时，说明 $\sin\alpha$ 和 $\cos\alpha$ 都为正。又由于 $\sin\alpha$ 的值只有两种可能：正或负；同样地，$\cos\alpha$ 的值也只有两种可能：正或负。所以，当 $\sin\alpha \cdot \cos\alpha > 0$ 时，我们可以得出以下结论：- 由于 $\sin\alpha$ 和 $\cos\alpha$ 都为正，所以 $\alpha$ 在第一、四象限。所以正确答案是 A. 第一、四象限。
22,同时抛掷两枚质地均匀的硬币，则出现两个正面朝上的概率是,$\frac{1}{8}$,$\frac{1}{4}$,$\frac{1}{2}$,$\frac{1}{3}$,B,A. $\frac{1}{8}$
23,在三角形ABC中，sinA:sinB:sinC=3:2:4，则cosC的值为,-2/3,-1/4,2/3,1/4,B,C. 2/3
24,"600是数列1*2,2*3,3*4，...的第",25项,24项 ,30项,20项 ,B,"B. 24项。解题过程如下:这个数列的通项公式是 n 项,即第 n 项的值为 n 乘以 (n+1) 的乘积。我们可以计算这个乘积等于 600 的数值:n * (n+1) = 600n^2 + n = 600n^2 + n - 600 = 0(n - 20)(n + 30) = 0由于 n 项不能为负值,所以 n = 20。因此,这个数列共有 20 项,第 20 项的值为 20 乘以 21 等于 420。所以答案为 B. 24项。"
25,"设$z=(3-i)/(1+2i)$,则|z|=",2,1,sqrt{3},sqrt{2},D,首先，我们计算复数z的模，即|z|。已知z = (3 - i)/(1 + 2i)。我们可以用复数的共轭数来化简这个复数：z = (3 - i)/(1 + 2i) * (1 - 2i)/(1 - 2i)  = (3 - i - 2i + 2i^2)/(1 - 4i^2)  = (3 - 2i - 1)/(1 - 4i^2)  = 2/(1 + 4i^2)由于i^2 = -1，所以z = 2/(1 + 4(-1))  = 2/(-3)  = -2/3所以，|z| = 3/5。我们来看选项，发现没有符合的。题目中可能出现了错误。
26,"设$\bigtriangleup ABC$的内角A，B，C所对边的长分别是a，b，c，且$f(A)=\sqrt{3}sinA-cosA+2$，若$f(A)=3,a=\sqrt{6}, S_{\bigtriangleup ABC}=\sqrt{3}$，则$\bigtriangleup ABC$的周长是",$3\sqrt{3}+\sqrt{6}$,$2\sqrt{2}+\sqrt{6}$,$3\sqrt{2}+\sqrt{6}$,$2\sqrt{3}+\sqrt{6}$,C,A. $3\sqrt{3}+\sqrt{6}$
27,"已知空间直⻆坐标系中三点$A(0,1,0),M(\sqrt{2},1,0),N(0,3,\sqrt{2}),O$为坐标原点，则直线 OA 与 MN 所成⻆的余弦值为",\frac{\sqrt{2}}{2},$\frac{\sqrt{6}+\sqrt{2}}{4}$,$\frac{\sqrt{3}}{2}$,0,A,D. 0
28,$\cos{\alpha}=4/5$，\alpha 为第四象限角，则$\tan{\alpha}$的值为,-4/3,$\pm 4/3$,-3/4,$\pm 3/4$,C,由于cosα=4/5，属于第四象限，所以α的余弦值为正，排除C、D两个选项。在第四象限，sinα为负，因此tanα=sinα/cosα，所以tanα=-(4/5)/(4/5)=-1。所以正确答案为A. -4/3。
29,"已知x>0, y>0, x+2y+2xy=8, 则x+2y的最小值是",5.5,3,4,4.5,C,C. 4
30,在$\bigtriangleup ABC$中，若c=1，$a=\sqrt{3}$，$\angle A=\frac{2\pi}{3}$，则b为,1,$\frac{\sqrt{10}}{2}$,$\sqrt{7}$,2,A,B. $\frac{\sqrt{10}}{2}$
31,函数$y=\sqrt{2x+1} + \sqrt{3-4x}$的定义域为,"(-\infty, 1/2]","(-1/2, 3/4)","(1/2,0)\cup (0, \infty)","[-1/2, 3/4]",D,"首先，要确定函数的定义域，需要排除使根号内的表达式无意义的数值。对于根号内的表达式$2x+1$，它无意义当$x < -\frac{1}{2}$时，对于根号内的表达式$3-4x$，它无意义当$x > \frac{3}{4}$时。所以，我们需要找到使这两个条件同时成立的区间。解得$x < -\frac{1}{2}$或$x > \frac{3}{4}$，即$x < -\frac{1}{2}$时，函数的定义域为$(-\infty, -\frac{1}{2})$;当$x > \frac{3}{4}$时，函数的定义域为$(\frac{3}{4}, \infty)$。由于这两个区间不相交，所以函数的定义域为$(-\infty, -\frac{1}{2})$和$(\frac{3}{4}, \infty)$的交集，即$(-\infty, -\frac{1}{2})$。所以，答案是A. $(-\infty, 1/2]$。"
32,$cos\frac{7}{6}\pi=$,$-\frac{1}{2}$,$\frac{1}{2}$,$-\frac{\sqrt{3}}{2}$,$\frac{\sqrt{3}}{2}$,C,由于$\frac{7}{6}\pi$落在第二象限，$\cos$函数的值是负的。而且，由于$\frac{7}{6}\pi$落在$2\pi$和$\pi$之间，我们还可以将其写成$-\frac{\pi}{6}$。对于$-\frac{\pi}{6}$，我们知道$\cos$函数的值是$\frac{\sqrt{3}}{2}$。因此，答案是D. $\frac{\sqrt{3}}{2}$。
33,$\frac{1+2i}{1-2i}$等于,$-\frac{3}{5}-\frac{4}{5}i$,$-\frac{4}{5}+\frac{3}{5}i$,$-\frac{3}{5}+\frac{4}{5}i$,$-\frac{4}{5}-\frac{3}{5}i$,C,C. $-\frac{3}{5}+\frac{4}{5}i$
34,"把函数y=sin(2x-pi/4)的图像向右平移pi/8,所得到的图像对应的函数为",非奇非偶函数,奇函数,偶函数,既是奇函数又是偶函数,C,C. 偶函数
35,在1，2，3，…，10这10个数字中，任取3个数字，那么“这三个数字的和⼤于6”这⼀事件是,以上选项均不正确,必然事件 ,不可能事件,随机事件,D,D. 随机事件
36,"在锐角三角形ABC中，a=1, B=2A，则边b的取值范围为","(sqrt(2),sqrt(3))","(1,2)","(2,3)","(1,3)",A,A
37,下列⼏个命题中，①两个⾯平⾏且相似，其余各⾯都是梯形的多⾯体是棱台；②有两个⾯互相平⾏，其余四个⾯都是等腰梯形的六⾯体是棱台；③各侧⾯都是正⽅形的四棱柱⼀定是正⽅体；④分别以矩形两条不等的边所在直线为旋转轴，将矩形旋转，所得到的两个圆柱是两个不同的圆柱。其中正确的有几个。,2,1,4,3,B,A. 2
38,"已知{a_n}是等比数列，a_2=2, a_3=1/4，则公比q=",2,-2,-1/2,1/2,D,A. 2
39,我国数学家陈景润在哥德巴赫猜想的研究中取得了世界领先的成果。哥德巴赫猜想是“每个大于2的偶数可以表示为两个素数的和”，如30=7+23.在不超过30的素数中，随机选取两个不同的数，其和等于30的概率是,$\frac{1}{15}$,$\frac{1}{12}$,$\frac{1}{14}$,$\frac{1}{18}$,A,首先，我们需要找到不超过30的素数，它们分别是：2，3，5，7，11，13，17，19，23和29。接下来，我们从这些素数中随机选取两个不同的数，它们的结果如下：(2 + 28) = 29(3 + 27) = 28(5 + 25) = 30(7 + 23) = 30(11 + 19) = 30(13 + 17) = 30(17 + 13) = 30(19 + 11) = 30(23 + 9) = 30(29 + 2) = 30只有5种组合结果。因此，概率为5/10×1/10×1/10=1/100。这个概率等于1/20，所以答案是D. $\frac{1}{18}$。
40,"集合A={x|1<x<9},B={2，3，4}，那么A与B的关系是",A真包含于B,⽆法确定,B真包含于A ,B=A ,C,C. B真包含于A.
41,若sin(a)cos(a)=1/8，且pi/4<a<pi/2，则sin(a)-cos(a)=,-\sqrt{3}/2,3/4,-3/4,\sqrt{3}/2,D,D. \(\sqrt{3}/2\)
42,"设$\bigtriangleup ABC$的内角A，B，C所对边的长分别是a，b，c，tan(A+B)=-2sinC, c=3, $\bigtriangleup ABC$的周长取值范围是","$(6,3+2\sqrt{3}]$","(6,9]","[6,9]","$[6,3+2\sqrt{3}]$",B,"B. (6,9]"
43,已知等差数列中，公差为2，第n项等于30，且前n项之和为240，则n等于,17,15,16,14,B,A. 17
44,若(a+i)/(1-i)(a\in R)是纯虚数，则|(a+i)/(1-i)|=,2,1,-i,i,B,首先，我们来解决第一个问题。已知 (a+i)/(1-i) 是纯虚数，那么其实部为0。由于复数形式为 a+i，所以 a = 0. 代入 a = 0 到 (a+i)/(1-i) 可得：(i)/(1-i) = i/(-i) = -1所以，a = 0。接下来，我们解决第二个问题。首先，计算 (a+i)/(1-i) 的模：(a+i)/(1-i) = i - 1模为：|i - 1| = sqrt((-1)^2 + 1^2) = sqrt(2)所以，|(a+i)/(1-i)| = sqrt(2)综上所述，答案是 A. 2。
45,函数$y=sin2xcos2x$最⼩正周期是,$\frac{1}{2}\pi$,$\frac{1}{4}\pi$,$2\pi$,$6\pi$,A,首先，我们可以使用三角函数的乘积公式将原式化简：$$y=sin2xcos2x=sin(2x)(cos(2x))$$然后，利用三角函数的倍角公式：$$sin(2x)=2sin(x)\cos(x)$$$$cos(2x)=cos^2(x)-sin^2(x)=(cos(x))^2-(sin(x))^2=1-2sin^2(x)$$将原式中的$sin(2x)$和$cos(2x)$替换为化简后的形式，得到：$$y=1-2sin^2(2x)$$由三角函数的倍角公式，我们知道$sin(2x)=2sin(x)\cos(x)$，所以：$$y=1-2(2sin(x)\cos(x))^2=1-4sin^2(x)$$这个式子是一个典型的正弦函数，它的周期为$2\pi$。因此，函数$y=sin2xcos2x$的最小正周期为$2\pi$，选项C正确。
46,为了判断甲、⼄两名同学本学期⼏次数学考试成绩哪个稳定，通常需要知道这两个⼈数学成绩的,⽅差,众数,频率分布,平均数,A,A. 方差
47,三角形ABC的面积是1，AB=2，BC=\sqrt{2}，角B为钝角，则AC=,\sqrt{10},\sqrt{5} ,1,2,A,B. \sqrt{5}
48,"已知集合p={1,2,3,4},Q={-1,0,1}，则$P\cap Q$等于","{1,2}","{-1,0,1,2,3,4}",{1},"{3,4}",C,"D. {3,4}"
49,同时抛掷两枚质地均匀的硬币，则出现两个正⾯朝上的概率是,1/8,1/3,1/2,1/4,D,A. 1/8
50,"设三阶方程$A=[A_{1},A_{2},A_{3}]$，其中$a_[i], i=1,2,3$为A的列向量，且$|A|=2$，则$|B|=|[a_{1}+3a_{2},a_{2},a_{3}]|=$",6,0,-2,2,D,A. 6
51,"等差数列中a5=11, S12=186, 则a8等于",18,20,21,22,B,A. 18
52,"从一批羽毛球产品中任取一个，其质量小于4.8g的概率为0.3，质量小于4.85g的概率为0.32，那么质量在[4.8,4.85)g范围内的概率是",0.68,0.38,0.02,0.62,C,B. 0.38
53,设$\bigtriangleup ABC$的内角A，B，C所对边的长分别是a，b，c，且$f(A)=\sqrt{3}sinA-2cos^{2}\frac{A}{2}+3$，当函数f(A)取到最大值时$\bigtriangleup ABC$的形状是,不确定,锐角三角形,钝角三角形,直角三角形,C,首先，我们来找出f(A)的最大值。f(A) = sqrt(3)sinA - 2cos^2(A/2) + 3令g(A) = sinA - cos^2(A/2)则f(A) = g(A) + 2 + sqrt(3)g(A) = sinA - cos^2(A/2) = sinA - (sqrt(2)/2)sinA + (sqrt(2)/2)cos^2(A/2) - (sqrt(2)/2)cos^2(A/2)= -cos^2(A/2) + sinA + (sqrt(2)/2)cos^2(A/2)= - (1 - sin^2(A/2)) + sinA + (sqrt(2)/2)cos^2(A/2)= - (1 - sin^2(A/2)) + sinA + sqrt(2)cos^2(A/2) - sqrt(2)cos^2(A/2)= sin^2(A/2) + sinA + sqrt(2)/2cos^2(A/2)的最大值是 sqrt(2)/2，此时 A = arctan(sqrt(2)/2) 约等于 75.71°然后我们来判断三角形形状。当 A = arctan(sqrt(2)/2) 约等于 75.71°时，BC = a，AC = b，AB = c。由正弦定理知，a/sinA = b/sinB = c/sinC，所以a = bc/sinA，c = ab/sinC。我们发现，当 A 变化时，bc变化以a变化。当 A 为锐角时，A < 90°，此时bc最大，a最小。当A为直角时，A = 90°，此时ab最大，bc最小。所以，当函数f(A)取到最大值时，ABC三角形为直角三角形。答案是 D. 直角三角形。
54,函数$f(x)=lnx-\frac{1}{x}$的零点所在的区间为,"(2,3)","(3,4)","(1,2)","(0,1)",C,"首先我们需要找到函数的零点，即求解方程$f(x)=0$的解。代入函数的定义，得到$$\ln x-\frac{1}{x}=0$$将方程两边同时乘以$x$，得到$$\ln x-\ln x=x^(-1)$$化简得$$-ln x=x^{-1}$$我们可以在选项中的区间内代入$x$的值，来判断零点所在的区间。当$x=2$时，左边的值小于0，右边的值大于0，所以不是(2,3)。当$x=3$时，左边的值大于0，右边的值也大于0，所以不是(3,4)。当$x=1$时，左边的值等于0，右边的值也等于0，所以是(1,2)。当$x=0$时，左边的值小于0，右边的值大于0，所以不是(0,1)。综上所述，函数$f(x)=ln x-\frac{1}{x}$的零点所在的区间为(1,2)。答案是C. (1,2)。"
55,"已知向量a，b满足$|a|=1,a\cdot b=-1$，则$a\cdot(2a-b)$ 等于",3,4,2,0,A,D. 0
56,"在$\bigtriangleup ABC$ 中，$a=2\sqrt{2},B=\frac{\pi}{4},\angle A=\frac{\pi}{3}$，则b=",$\frac{5\sqrt{3}}{4}$,$\frac{4\sqrt{3}}{3}$,$\frac{5\sqrt{3}}{3}$,$\frac{3\sqrt{3}}{2}$,B,根据正弦定理，我们知道在三角形ABC中，a、b、c之间的比值与它们所对的角度A、B、C的关系：$$\frac{a}{\sin A} = \frac{b}{\sin B} = \frac{c}{\sin C}$$由于我们已知的数据：a = 2$\sqrt{2}$，B = $\frac{\pi}{4}$，A = $\frac{\pi}{3}$，我们可以利用正弦定理求出b的值：$$\frac{2\sqrt{2}}{\sin \frac{\pi}{3}} = \frac{b}{\sin \frac{\pi}{4}}$$我们可以通过解这个方程来求出b的值。将数据代入方程，得：$$\frac{2\sqrt{2}}{{\sin \frac{\pi}{3}}}= \frac{b}{{\sin \frac{\pi}{4}}}$$我们知道，sin $\frac{\pi}{3}$ = $\frac{\sqrt{3}}{2}$，sin $\frac{\pi}{4}$ = $\frac{\sqrt{2}}{2}$。将数据代入方程，得：$$\frac{2\sqrt{2}}{\frac{\sqrt{3}}{2}} = \frac{b}{\frac{\sqrt{2}}{2}}$$解这个方程，得：$$b = \frac{4\sqrt{3}}{3}$$所以，答案是B. $\frac{4\sqrt{3}}{3}$。
57,若回归直线的方程为$\hat{y}=2-1.5x$，则变量x增加一个单位时,y平均减少2个单位,y平均增加1.5个单位,y平均增加2个单位,y平均减少1.5个单位,D,首先，根据题意，我们知道回归直线方程为 $\hat{y}=2-1.5x$。当变量x增加一个单位时，我们可以将x的值代入方程中计算出y的值。增加一个单位后，$x$ 的值为 1，代入方程得：$$\hat{y}=2-1.5(1)=0.5$$此时，y的值为0.5。我们来分析一下选项：A. y平均减少2个单位，不符合题意；B. y平均增加1.5个单位，不符合题意；C. y平均增加2个单位，不符合题意；D. y平均减少1.5个单位，符合题意。所以，答案是D. y平均减少1.5个单位。
58,不等式$|x(x-2)|>x(x-2)$的解集为,"$(2,+\infty)$","$(-\infty,0)\cup(0,+\infty)$","$(-\infty,0)$","(0,2)",D,"D. (0,2)"
59,16汽修（2）班总⼈数是50，其中喜欢蓝球的有21⼈，喜欢⽻⽑球的有19⼈，既不喜欢篮球⼜不喜欢⽻⽑球的有15⼈，那么既喜欢篮球⼜喜欢⽻⽑球的有⼏⼈？,5人,6人,7人,4人,A,B. 6人。解题过程如下：首先，我们可以根据容斥原理来求解。设喜欢篮球的人数为A，喜欢蓝球的人数为B，既不喜欢篮球也不喜欢 grass ball的人数为C。那么，喜欢篮球的人数为 A = 21喜欢 grass ball 的人数为 B = 19既不喜欢篮球也不喜欢 grass ball 的人数为 C = 15总人数为 50，所以不喜欢篮球也不喜欢 grass ball 的人数为 50 - (A + B - C) = 50 - (21 + 19 - 15) = 15。这样，既喜欢篮球又喜欢 grass ball 的人数就为 A + B - C = 21 + 19 - 15 = 25。但是，根据题目，既喜欢篮球又喜欢 grass ball 的人数不能超过 50 - (A + B) = 50 - (21 + 19) = 5。所以，既喜欢篮球又喜欢 grass ball 的人数实际上的最大值为 5。因此，正确答案为 A. 5人。
60,如果等差数列$\left\{ a_{n} \right\}$中，$a_{3}+a_{5}+a_{7}=12$，那么$a_{1}+a_{2}+...+a_{9}$的值为,18,36,54,27,B,D. 27
61,"已知$tan\alpha=\frac{1}{4},tan(\alpha-\beta)=\frac{1}{3}$，则$tan\beta=$",$\frac{1}{13}$,$-\frac{1}{13}$,$-\frac{11}{7}$,$\frac{7}{11}$,B,D. $\frac{7}{11}$
62,已知点（—4，2），（0，0），则线段的垂直平分线的斜率为,1/2,-1/2,2,-2,C,B. -1/2
63,设A={x| x>1}，B={ x|x≥5}，那么$A\cup B=$,{x|x≥1},{x|x≥5} ,{x| x>1} ,{x| x>5} ,C,D. {x| x>5}
64,人的年龄x与人体脂肪含量的百分数y的回归方程为y=0.577x-0.448，如果某人36岁，那么这个人的脂肪含量,无任何参考数据,一定20.3%,在20.3%附近的可能性比较大,以上解释都无道理,C,C. 在20.3%附近的可能性比较大
65,"经过点M(-2,m), N(m,4)的直线的斜率等于1，则m的值为",1或3,1,4,1或4,B,A. 1或3
66,"$f(x)=x^3-3x^2+2$在区间[-1,1]上的最大值是",4,1,0,2,D,C. 0
67,$x^2\neq y^2$是$x\neq y$且$x\neq -y$的,既不充分也不必要条件,充分不必要条件 ,充要条件,必要不充分条件,C,A. 既不充分也不必要条件。
68,"设$\bigtriangleup ABC$的内角A，B，C所对边的长分别是a，b，c，已知$a=2\sqrt{2}, cosA=\frac{\sqrt{6}}{3}, B=A+\frac{\pi}{2}$，则$\bigtriangleup ABC$的面积为",$\frac{4\sqrt{3}}{3}$,$\frac{4\sqrt{2}}{3}$,$\frac{2\sqrt{3}}{3}$,$\frac{2\sqrt{2}}{3}$,B,A
69,袋中有5个⽩球，3个红球，从中任意抽取4个球恰好抽到3个⽩球的概率,4/5,3/4,3/7,1/2,C,C. 3/7
70,下⾯⼏何体中，过轴的截⾯⼀定是圆⾯的是,圆台,圆柱 ,圆锥,球,D,D. 球
71,已知四棱锥S-ABCD的底面是中心为O的正方形，且SO$\prep$底面ABCD，$SA=2\sqrt{3}$，那么当该棱锥的体积最大时，它的高为,$\sqrt{3}$,1,2,3,C,很抱歉，我无法直接给出正确答案的选项，因为我的知识库中没有提供这个问题的答案。您可以提供更多有关棱锥体积和高的信息，或者尝试画出该棱锥的图形来解决这个问题。
72,函数$f(x)=\pi x +log_{2}x$的零点所在的区间为,"[0,1/8]","[1/2, 1]","[1/8, 1/4]","[1/4, 1/2]",D,"正确答案为B. [1/2, 1]。解题过程如下：首先，我们需要找到函数f(x)的零点，即解决方程πx + log2(x) = 0。我们可以使用图形方法来解这个方程。在坐标系中，将πx + log2(x) = 0绘制出来，找到该方程的解在坐标系中的位置。绘制出图形后，我们可以看到解在x = 1/2和x = 1之间，因此零点所在的区间为[1/2, 1]。所以，正确答案为B. [1/2, 1]。"
73,若复数m(m-2)+(m^2-3m+2)i是纯虚数，则实数m的值为,0或2,0,2,1或2,B,A. 0或2
74,复数$(i(2+i)/(1-2i))$等于,-i,i,-1,1,C,首先，我们可以化简复数的分子和分母：$i(2+i)/(1-2i) = i(2+i)(1+2i)/(1-2i)(1+2i) = (2i+i^2)/(1-2i^2) = (-1+2i)/(5-4} = 1+i/5$我们发现，这个值并不等于A. -i，B. i，C. -1 或 D. 1。我们可以用共轭数来化简复数：$(1+i)/5 = (1+i)(5/5) = 5/5 + 5i/5 = 1 + i$所以，正确答案是D. 1。
75,"已知两条平行直线l_1: 3x-4y+a=0, l_2: 6x-8y+10=0的距离为2，则a等于","-5,15","10,5","-5,10","-15,5",A,"C. -5,10"
76,"若$\overrightarrow{a}=(x,3),\overrightarrow{b}=(x,-2)$，则“$x=\sqrt{6}$”是“$\overrightarrow{a}\bot \overrightarrow{b}$”的",既不充分也不必要条件,必要而不充分条件,充分必要条件,充分而不必要条件,B,D
77,若回归直线的⽅程为y=2-1.5x，则变量x增加⼀个单位时,y 平均增加1.5个单位,y 平均减少2个单位 ,y 平均减少1.5个单位 ,y 平均增加2个单位,C,A. y平均增加1.5个单位
78,将⼀个⻓⽅体切去3个顶⻆，得到的物体有多少个⾯,9,8,6,7,A,B. 8
79,"已知$\tan\alpha=1/4$, $\tan(\alpha-\beta)=1/3$，则$\tan\beta=$",-1/13,1/13,-11/7,7/11,A,B. 1/13
80,等差数列{a_N}中，若$a_2+a_3=4$，$a_4+a_5=6$，则$a_9+a_{10}=$,11,12,10,9,A,A. 11
81,"设三角形ABC的内角A，B，C所对边长分别是a，b，c，且b=3, c=1, A=2B，则a=",$\sqrt{3}$,$2\sqrt{3}$,2,$\sqrt{3}/2$,B,B. $2\sqrt{3}$
82,条件p:(x-2)^2<=1，条件q:2/(x-1)>=1，则p是q的,充要条件 ,充分不必要条件,既不充分也不必要条件,必要不充分条件,D,D. 必要不充分条件
83,"设$\bigtriangleup ABC$的内角A，B，C所对边的长分别是a，b，c，若$\angle C=120^{\circ }, c=\sqrt{2}a$，则",A与B的大小关系不能确定,$A\gt B$,A=B,$A\lt B$,B,A
84,使$log_{2}a>log_{3}27成立的a的取值范围是,"(8, \inf)","(9, \inf)","(3, \inf)","(0, \inf)",A,"A. (8, \inf)"
85,投一颗骰子，设A为“出现2点”，B为“出现奇数点”，则P(A+B)=,1/6,5/6,2/3,1/3,C,B. 5/6
86,若椭圆$x^2/m+y^2/8=1$的焦距为2，则m的值为,7,9,9或16,9或7,D,D. 9或7
